time_iso8601,forks_cumulative
2023-12-18 00:00:00+00:00,33602
2023-12-19 00:00:00+00:00,33639
2023-12-20 00:00:00+00:00,33675
2023-12-21 00:00:00+00:00,33719
2023-12-22 00:00:00+00:00,33750
2023-12-23 00:00:00+00:00,33780
2023-12-24 00:00:00+00:00,33808
2023-12-25 00:00:00+00:00,33842
2023-12-26 00:00:00+00:00,33887
2023-12-27 00:00:00+00:00,33941
2023-12-28 00:00:00+00:00,33970
2023-12-29 00:00:00+00:00,33998
2023-12-30 00:00:00+00:00,34020
2023-12-31 00:00:00+00:00,34038
2024-01-01 00:00:00+00:00,34060
2024-01-02 00:00:00+00:00,34110
2024-01-03 00:00:00+00:00,34158
2024-01-04 00:00:00+00:00,34202
2024-01-05 00:00:00+00:00,34237
2024-01-06 00:00:00+00:00,34266
2024-01-07 00:00:00+00:00,34295
2024-01-08 00:00:00+00:00,34323
2024-01-09 00:00:00+00:00,34359
2024-01-10 00:00:00+00:00,34395
2024-01-11 00:00:00+00:00,34430
2024-01-12 00:00:00+00:00,34464
2024-01-13 00:00:00+00:00,34493
2024-01-14 00:00:00+00:00,34527
2024-01-15 00:00:00+00:00,34570
2024-01-16 00:00:00+00:00,34606
2024-01-17 00:00:00+00:00,34636
2024-01-18 00:00:00+00:00,34679
2024-01-19 00:00:00+00:00,34716
2024-01-20 00:00:00+00:00,34739
2024-01-21 00:00:00+00:00,34770
2024-01-22 00:00:00+00:00,34799
2024-01-23 00:00:00+00:00,34842
2024-01-24 00:00:00+00:00,34879
2024-01-25 00:00:00+00:00,34912
2024-01-26 00:00:00+00:00,34937
2024-01-27 00:00:00+00:00,34965
2024-01-28 00:00:00+00:00,34996
2024-01-29 00:00:00+00:00,35028
2024-01-30 00:00:00+00:00,35071
2024-01-31 00:00:00+00:00,35101
2024-02-01 00:00:00+00:00,35130
2024-02-02 00:00:00+00:00,35153
2024-02-03 00:00:00+00:00,35179
2024-02-04 00:00:00+00:00,35213
2024-02-05 00:00:00+00:00,35253
2024-02-06 00:00:00+00:00,35292
2024-02-07 00:00:00+00:00,35324
2024-02-08 00:00:00+00:00,35351
2024-02-09 00:00:00+00:00,35378
2024-02-10 00:00:00+00:00,35398
2024-02-11 00:00:00+00:00,35421
2024-02-12 00:00:00+00:00,35444
2024-02-13 00:00:00+00:00,35469
2024-02-14 00:00:00+00:00,35494
2024-02-15 00:00:00+00:00,35525
2024-02-16 00:00:00+00:00,35554
2024-02-17 00:00:00+00:00,35577
2024-02-18 00:00:00+00:00,35604
2024-02-19 00:00:00+00:00,35647
2024-02-20 00:00:00+00:00,35680
2024-02-21 00:00:00+00:00,35730
2024-02-22 00:00:00+00:00,35770
2024-02-23 00:00:00+00:00,35814
2024-02-24 00:00:00+00:00,35858
2024-02-25 00:00:00+00:00,35902
2024-02-26 00:00:00+00:00,35948
2024-02-27 00:00:00+00:00,36000
2024-02-28 00:00:00+00:00,36047
2024-02-29 00:00:00+00:00,36096
2024-03-01 00:00:00+00:00,36147
2024-03-02 00:00:00+00:00,36175
2024-03-03 00:00:00+00:00,36200
2024-03-04 00:00:00+00:00,36247
2024-03-05 00:00:00+00:00,36284
2024-03-06 00:00:00+00:00,36330
2024-03-07 00:00:00+00:00,36364
2024-03-08 00:00:00+00:00,36389
2024-03-09 00:00:00+00:00,36418
2024-03-10 00:00:00+00:00,36449
2024-03-11 00:00:00+00:00,36489
2024-03-12 00:00:00+00:00,36521
2024-03-13 00:00:00+00:00,36561
2024-03-14 00:00:00+00:00,36629
2024-03-15 00:00:00+00:00,36680
2024-03-16 00:00:00+00:00,36713
2024-03-17 00:00:00+00:00,36747
2024-03-18 00:00:00+00:00,36786
2024-03-19 00:00:00+00:00,36838
2024-03-20 00:00:00+00:00,36882
2024-03-21 00:00:00+00:00,36919
2024-03-22 00:00:00+00:00,36948
2024-03-23 00:00:00+00:00,36981
2024-03-24 00:00:00+00:00,37008
2024-03-25 00:00:00+00:00,37052
2024-03-26 00:00:00+00:00,37094
2024-03-27 00:00:00+00:00,37138
2024-03-28 00:00:00+00:00,37181
2024-03-29 00:00:00+00:00,37220
2024-03-30 00:00:00+00:00,37257
2024-03-31 00:00:00+00:00,37287
2024-04-01 00:00:00+00:00,37332
2024-04-02 00:00:00+00:00,37370
2024-04-03 00:00:00+00:00,37415
2024-04-04 00:00:00+00:00,37452
2024-04-05 00:00:00+00:00,37476
2024-04-06 00:00:00+00:00,37499
2024-04-07 00:00:00+00:00,37531
2024-04-08 00:00:00+00:00,37564
2024-04-09 00:00:00+00:00,37586
2024-04-10 00:00:00+00:00,37623
2024-04-11 00:00:00+00:00,37651
2024-04-12 00:00:00+00:00,37677
2024-04-13 00:00:00+00:00,37702
2024-04-14 00:00:00+00:00,37726
2024-04-15 00:00:00+00:00,37764
2024-04-16 00:00:00+00:00,37817
2024-04-17 00:00:00+00:00,37867
2024-04-18 00:00:00+00:00,37920
2024-04-19 00:00:00+00:00,37949
2024-04-20 00:00:00+00:00,37972
2024-04-21 00:00:00+00:00,38002
2024-04-22 00:00:00+00:00,38043
2024-04-23 00:00:00+00:00,38095
2024-04-24 00:00:00+00:00,38134
2024-04-25 00:00:00+00:00,38159
2024-04-26 00:00:00+00:00,38180
2024-04-27 00:00:00+00:00,38207
2024-04-28 00:00:00+00:00,38231
2024-04-29 00:00:00+00:00,38262
2024-04-30 00:00:00+00:00,38296
2024-05-01 00:00:00+00:00,38323
2024-05-02 00:00:00+00:00,38349
2024-05-03 00:00:00+00:00,38369
2024-05-04 00:00:00+00:00,38394
2024-05-05 00:00:00+00:00,38414
2024-05-06 00:00:00+00:00,38437
2024-05-07 00:00:00+00:00,38476
2024-05-08 00:00:00+00:00,38506
2024-05-09 00:00:00+00:00,38527
2024-05-10 00:00:00+00:00,38548
2024-05-11 00:00:00+00:00,38575
2024-05-12 00:00:00+00:00,38596
2024-05-13 00:00:00+00:00,38623
2024-05-14 00:00:00+00:00,38653
2024-05-15 00:00:00+00:00,38696
2024-05-16 00:00:00+00:00,38741
2024-05-17 00:00:00+00:00,38770
2024-05-18 00:00:00+00:00,38796
2024-05-19 00:00:00+00:00,38835
2024-05-20 00:00:00+00:00,38865
2024-05-21 00:00:00+00:00,38903
2024-05-22 00:00:00+00:00,38940
2024-05-23 00:00:00+00:00,38965
2024-05-24 00:00:00+00:00,38995
2024-05-25 00:00:00+00:00,39018
2024-05-26 00:00:00+00:00,39048
2024-05-27 00:00:00+00:00,39074
2024-05-28 00:00:00+00:00,39105
2024-05-29 00:00:00+00:00,39139
2024-05-30 00:00:00+00:00,39168
2024-05-31 00:00:00+00:00,39189
2024-06-01 00:00:00+00:00,39218
2024-06-02 00:00:00+00:00,39237
2024-06-03 00:00:00+00:00,39263
2024-06-04 00:00:00+00:00,39290
2024-06-05 00:00:00+00:00,39332
2024-06-06 00:00:00+00:00,39366
2024-06-07 00:00:00+00:00,39384
2024-06-08 00:00:00+00:00,39404
2024-06-09 00:00:00+00:00,39440
2024-06-10 00:00:00+00:00,39465
2024-06-11 00:00:00+00:00,39497
2024-06-12 00:00:00+00:00,39528
2024-06-13 00:00:00+00:00,39543
2024-06-14 00:00:00+00:00,39563
2024-06-15 00:00:00+00:00,39571
2024-06-16 00:00:00+00:00,39580
2024-06-17 00:00:00+00:00,39603
2024-06-18 00:00:00+00:00,39630
2024-06-19 00:00:00+00:00,39652
2024-06-20 00:00:00+00:00,39675
2024-06-21 00:00:00+00:00,39699
2024-06-22 00:00:00+00:00,39711
2024-06-23 00:00:00+00:00,39723
2024-06-24 00:00:00+00:00,39738
2024-06-25 00:00:00+00:00,39766
2024-06-26 00:00:00+00:00,39775
2024-06-27 00:00:00+00:00,39789
2024-06-28 00:00:00+00:00,39803
2024-06-29 00:00:00+00:00,39822
2024-06-30 00:00:00+00:00,39830
2024-07-01 00:00:00+00:00,39847
2024-07-02 00:00:00+00:00,39878
2024-07-03 00:00:00+00:00,39898
2024-07-04 00:00:00+00:00,39918
2024-07-05 00:00:00+00:00,39935
2024-07-06 00:00:00+00:00,39955
2024-07-07 00:00:00+00:00,39969
2024-07-08 00:00:00+00:00,39991
2024-07-09 00:00:00+00:00,40027
2024-07-10 00:00:00+00:00,40062
2024-07-11 00:00:00+00:00,40093
2024-07-12 00:00:00+00:00,40119
2024-07-13 00:00:00+00:00,40144
2024-07-14 00:00:00+00:00,40180
2024-07-15 00:00:00+00:00,40207
2024-07-16 00:00:00+00:00,40236
2024-07-17 00:00:00+00:00,40259
2024-07-18 00:00:00+00:00,40301
2024-07-19 00:00:00+00:00,40328
2024-07-20 00:00:00+00:00,40339
2024-07-21 00:00:00+00:00,40360
2024-07-22 00:00:00+00:00,40372
2024-07-23 00:00:00+00:00,40387
2024-07-24 00:00:00+00:00,40412
2024-07-25 00:00:00+00:00,40428
2024-07-26 00:00:00+00:00,40444
2024-07-27 00:00:00+00:00,40458
2024-07-28 00:00:00+00:00,40469
2024-07-29 00:00:00+00:00,40488
2024-07-30 00:00:00+00:00,40505
2024-07-31 00:00:00+00:00,40518
2024-08-01 00:00:00+00:00,40538
2024-08-02 00:00:00+00:00,40558
2024-08-03 00:00:00+00:00,40566
2024-08-04 00:00:00+00:00,40580
2024-08-05 00:00:00+00:00,40593
2024-08-06 00:00:00+00:00,40607
2024-08-07 00:00:00+00:00,40627
2024-08-08 00:00:00+00:00,40645
2024-08-09 00:00:00+00:00,40656
2024-08-10 00:00:00+00:00,40667
2024-08-11 00:00:00+00:00,40676
2024-08-12 00:00:00+00:00,40686
2024-08-13 00:00:00+00:00,40702
2024-08-14 00:00:00+00:00,40728
2024-08-15 00:00:00+00:00,40748
2024-08-16 00:00:00+00:00,40764
2024-08-17 00:00:00+00:00,40771
2024-08-18 00:00:00+00:00,40785
2024-08-19 00:00:00+00:00,40793
2024-08-20 00:00:00+00:00,40806
2024-08-21 00:00:00+00:00,40818
2024-08-22 00:00:00+00:00,40832
2024-08-23 00:00:00+00:00,40841
2024-08-24 00:00:00+00:00,40848
2024-08-25 00:00:00+00:00,40859
2024-08-26 00:00:00+00:00,40871
2024-08-27 00:00:00+00:00,40881
2024-08-28 00:00:00+00:00,40896
2024-08-29 00:00:00+00:00,40909
2024-08-30 00:00:00+00:00,40917
2024-08-31 00:00:00+00:00,40925
2024-09-01 00:00:00+00:00,40932
2024-09-02 00:00:00+00:00,40949
2024-09-03 00:00:00+00:00,40962
2024-09-04 00:00:00+00:00,40977
2024-09-05 00:00:00+00:00,40982
2024-09-06 00:00:00+00:00,40995
2024-09-07 00:00:00+00:00,41008
2024-09-08 00:00:00+00:00,41018
2024-09-09 00:00:00+00:00,41029
2024-09-10 00:00:00+00:00,41034
2024-09-11 00:00:00+00:00,41040
2024-09-12 00:00:00+00:00,41056
2024-09-13 00:00:00+00:00,41070
2024-09-14 00:00:00+00:00,41080
2024-09-15 00:00:00+00:00,41102
2024-09-16 00:00:00+00:00,41117
2024-09-17 00:00:00+00:00,41128
2024-09-18 00:00:00+00:00,41150
2024-09-19 00:00:00+00:00,41178
2024-09-20 00:00:00+00:00,41200
2024-09-21 00:00:00+00:00,41211
2024-09-22 00:00:00+00:00,41232
2024-09-23 00:00:00+00:00,41255
2024-09-24 00:00:00+00:00,41271
2024-09-25 00:00:00+00:00,41287
2024-09-26 00:00:00+00:00,41293
2024-09-27 00:00:00+00:00,41302
2024-09-28 00:00:00+00:00,41309
2024-09-29 00:00:00+00:00,41320
2024-09-30 00:00:00+00:00,41330
2024-10-01 00:00:00+00:00,41336
2024-10-02 00:00:00+00:00,41352
2024-10-03 00:00:00+00:00,41373
2024-10-04 00:00:00+00:00,41380
2024-10-05 00:00:00+00:00,41388
2024-10-06 00:00:00+00:00,41401
2024-10-07 00:00:00+00:00,41412
2024-10-08 00:00:00+00:00,41423
2024-10-09 00:00:00+00:00,41432
2024-10-10 00:00:00+00:00,41440
2024-10-11 00:00:00+00:00,41449
2024-10-12 00:00:00+00:00,41465
2024-10-13 00:00:00+00:00,41468
2024-10-14 00:00:00+00:00,41480
2024-10-15 00:00:00+00:00,41493
2024-10-16 00:00:00+00:00,41506
2024-10-17 00:00:00+00:00,41510
2024-10-18 00:00:00+00:00,41520
2024-10-19 00:00:00+00:00,41529
2024-10-20 00:00:00+00:00,41537
2024-10-21 00:00:00+00:00,41546
2024-10-22 00:00:00+00:00,41554
2024-10-23 00:00:00+00:00,41561
2024-10-24 00:00:00+00:00,41579
2024-10-25 00:00:00+00:00,41592
2024-10-26 00:00:00+00:00,41603
2024-10-27 00:00:00+00:00,41616
2024-10-28 00:00:00+00:00,41628
2024-10-29 00:00:00+00:00,41638
2024-10-30 00:00:00+00:00,41649
2024-10-31 00:00:00+00:00,41659
2024-11-01 00:00:00+00:00,41668
